"Format version:","1.0"
"Date and Time:","24 nov. 2015 15:08:33"
"Project Name:","EvalStepByStep"
"Design Name:","Photo_Design_1"
"Task Hierarchy:","VoirLaPhotoDesEnfantsANoel2015"
,
"Frame","Action","Widget-Name","Displayed-Label","Widget-Type"
"EcranInit","Think for 1.200 s","","",""
"EcranInit","Move Mouse","MenuAlbum","","Button"
"EcranInit","Left Click","MenuAlbum","","Button"
"EcranAlbumsOuvert","Think for 1.200 s","","",""
"EcranAlbumsOuvert","Move Mouse","OuvertureAlbumNoel","","Button"
"EcranAlbumsOuvert","Left Click","OuvertureAlbumNoel","","Button"
"EcranAlbumNoel","Think for 1.200 s","","",""
"EcranAlbumNoel","Move Mouse","SelectionPhotoEnfants","","Button"
"EcranAlbumNoel","Left Click","SelectionPhotoEnfants","","Button"
"EcranPhotoNoel"
